Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
90800.0,-0.317,0.575,-0.693,23.565,-112.541,-87.803,-0.999,0.06,0.266,2.555,3.71,-1.715,-0.983,-0.121,0.161,8.014,14.532,19.461,-0.974,-0.191,-0.285,10.74,-56.663,-9.722,-0.303,0.016,0.114,30.376,206.727,-219.144
90820.0,-0.361,0.545,-0.664,26.391,-114.578,-90.652,-1.002,0.053,0.268,1.799,2.782,-2.056,-0.999,-0.092,0.152,6.567,12.482,18.12,-0.91,-0.221,-0.257,11.405,-57.821,-7.236,-0.331,0.069,0.064,11.138,150.839,-234.709
90840.0,-0.385,0.53,-0.637,28.413,-116.803,-94.528,-0.998,0.037,0.256,2.13,0.984,-7.898,-0.997,-0.104,0.148,6.887,11.217,17.779,-0.872,-0.192,-0.248,16.978,-65.301,-0.237,-0.392,-0.069,0.178,14.206,185.053,-242.418
90860.0,-0.394,0.478,-0.633,30.612,-114.965,-98.231,-0.954,0.017,0.241,4.523,1.715,-6.873,-1.048,-0.098,0.149,7.971,11.253,17.152,-0.753,-0.196,-0.25,28.788,-63.647,8.535,-0.695,-0.05,0.196,37.714,232.728,-228.55
90880.0,-0.437,0.441,-0.626,36.191,-112.304,-101.327,-0.978,0.032,0.254,4.536,0.931,0.781,-1.095,-0.086,0.142,5.022,11.651,14.888,-0.723,-0.161,-0.262,35.997,-63.09,14.52,-0.986,0.204,0.102,31.781,197.774,-236.272
90900.0,-0.487,0.429,-0.612,44.798,-115.275,-110.183,-1.012,0.067,0.263,-2.319,-2.185,1.833,-0.995,-0.135,0.136,4.45,11.136,13.045,-0.696,-0.112,-0.258,36.05,-65.089,22.296,-0.901,0.187,0.128,12.703,175.166,-242.388
90920.0,-0.523,0.417,-0.617,49.777,-114.003,-118.237,-0.996,0.06,0.264,-6.115,-2.414,2.976,-0.994,-0.119,0.138,8.454,11.15,12.741,-0.588,-0.007,-0.308,33.53,-64.05,33.32,-0.942,0.126,0.123,0.925,197.232,-247.239
90940.0,-0.559,0.46,-0.607,54.892,-110.605,-122.578,-0.993,0.047,0.264,-7.204,-1.82,3.675,-1.002,-0.12,0.13,9.447,12.424,12.742,-0.557,0.095,-0.306,19.896,-56.096,43.697,-1.047,0.182,0.083,1.75,213.08,-243.53
90960.0,-0.593,0.45,-0.609,55.202,-109.22,-120.066,-1.0,0.05,0.266,-8.684,-1.593,3.077,-1.0,-0.082,0.123,11.676,10.786,13.797,-0.544,0.108,-0.297,-9.39,-54.39,48.504,-1.114,0.153,0.033,-13.23,200.97,-232.19
90980.0,-0.62,0.462,-0.555,54.375,-105.227,-119.016,-1.008,0.048,0.267,-10.867,-2.171,4.505,-1.002,-0.065,0.115,12.144,10.822,12.313,-0.465,-0.061,-0.297,-23.343,-51.13,47.842,-1.099,0.087,-0.025,-16.87,231.56,-230.65
