Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
141880.0,-1.038,-0.098,0.307,0.891,-0.744,-3.566,-0.74,0.594,0.618,5.187,-82.744,69.336,-0.899,0.135,0.383,36.293,-13.27,-6.968,-0.949,-0.47,0.209,11.575,0.012,26.468
141900.0,-0.991,-0.123,0.291,4.09,-4.267,-2.965,-0.976,0.523,0.454,-38.172,-110.542,88.607,-0.85,0.174,0.4,28.58,-9.494,-7.545,-0.948,-0.475,0.21,10.281,-3.863,27.85
141920.0,-0.938,-0.12,0.259,7.343,-5.975,-2.3,-1.1,0.4,0.27,-68.323,-128.272,101.453,-0.826,0.199,0.397,14.034,-7.77,-8.742,-0.93,-0.445,0.202,4.934,-9.439,26.668
141940.0,-0.897,-0.1,0.247,6.178,-5.325,-1.491,-1.266,0.298,0.122,-89.74,-148.4,108.71,-0.808,0.181,0.383,-0.553,-7.889,-8.683,-0.887,-0.409,0.199,-6.493,-13.811,22.323
141960.0,-0.871,-0.073,0.26,4.435,-3.897,-0.862,-1.37,0.242,0.047,-102.919,-163.246,108.31,-0.784,0.145,0.386,-3.08,-8.036,-7.886,-0.838,-0.421,0.202,-12.667,-15.396,15.259
141980.0,-0.876,-0.071,0.293,4.099,-4.35,-0.003,-1.339,0.188,-0.133,-105.213,-172.038,105.081,-0.768,0.129,0.397,0.728,-6.817,-6.968,-0.827,-0.46,0.198,-11.359,-14.805,6.583
142000.0,-0.885,-0.093,0.289,3.425,-6.855,0.42,-1.277,0.221,-0.206,-99.768,-169.214,102.182,-0.767,0.136,0.405,6.894,-5.906,-7.185,-0.829,-0.462,0.177,-5.479,-14.165,-0.413
142020.0,-0.88,-0.114,0.271,3.395,-7.506,0.269,-1.333,0.251,-0.136,-96.116,-169.55,97.667,-0.772,0.171,0.408,7.734,-5.769,-7.778,-0.83,-0.439,0.158,-1.058,-14.325,-5.248
142040.0,-0.887,-0.114,0.285,4.147,-6.252,0.185,-1.295,0.165,-0.152,-81.401,-169.121,94.454,-0.792,0.19,0.411,2.517,-5.136,-6.722,-0.821,-0.416,0.154,-0.252,-14.03,-8.873
142060.0,-0.904,-0.099,0.284,2.667,-4.407,0.6,-1.203,0.121,-0.158,-60.828,-167.337,96.151,-0.81,0.187,0.415,-0.002,-5.346,-3.666,-0.84,-0.415,0.157,-1.437,-13.72,-10.424
142080.0,-0.88,-0.071,0.277,0.357,-1.246,1.11,-1.119,0.235,-0.139,-28.42,-156.673,100.92,-0.803,0.175,0.415,-0.133,-6.159,0.202,-0.862,-0.416,0.149,-1.448,-14.036,-11.299
142100.0,-0.842,-0.061,0.281,0.28,-0.443,2.563,-1.008,0.208,-0.274,-9.849,-151.939,101.631,-0.764,0.157,0.413,2.654,-6.753,4.697,-0.836,-0.404,0.145,-1.186,-14.279,-13.498
142120.0,-0.841,-0.066,0.314,2.094,-1.511,3.857,-0.855,0.219,-0.254,4.616,-126.941,98.331,-0.735,0.145,0.409,7.479,-5.817,8.174,-0.806,-0.396,0.153,0.861,-11.354,-15.793
142140.0,-0.862,-0.081,0.356,5.104,-6.353,3.981,-0.867,0.232,-0.028,8.233,-97.806,86.457,-0.738,0.169,0.415,8.068,-3.383,9.552,-0.816,-0.359,0.157,0.919,-9.997,-18.141
142160.0,-0.859,-0.1,0.323,8.123,-10.26,3.806,-0.829,-0.041,0.006,19.498,-81.442,74.811,-0.773,0.181,0.423,4.516,-2.59,9.031,-0.831,-0.371,0.183,0.98,-8.47,-20.37
142180.0,-0.867,-0.1,0.293,8.298,-9.602,4.008,-0.71,-0.121,-0.007,55.634,-55.174,57.243,-0.802,0.18,0.42,-0.647,-2.874,6.548,-0.846,-0.362,0.194,1.47,-7.21,-21.14
142200.0,-0.877,-0.043,0.325,7.943,-8.481,3.971,-0.655,0.073,-0.048,47.444,-20.569,29.188,-0.812,0.167,0.4,-1.662,-4.196,5.749,-0.844,-0.373,0.198,2.456,-6.872,-20.455
142220.0,-0.888,-0.023,0.357,10.221,-10.798,4.119,-0.648,0.178,-0.053,-1.205,14.904,5.332,-0.779,0.164,0.386,2.928,-4.163,7.839,-0.838,-0.405,0.209,10.483,-4.937,-18.938
142240.0,-0.906,-0.079,0.377,10.422,-12.405,6.521,-0.741,0.185,0.05,-50.726,47.528,-12.838,-0.768,0.197,0.419,2.091,1.208,9.663,-0.855,-0.401,0.209,14.795,-4.427,-17.028
142260.0,-0.912,-0.144,0.42,2.803,-11.871,7.303,-0.743,0.067,-0.095,-90.584,75.955,-34.875,-0.812,0.209,0.433,-4.005,3.143,10.981,-0.868,-0.372,0.224,14.229,-5.127,-15.377
142280.0,-0.931,-0.046,0.454,3.436,-15.742,8.912,-0.781,0.066,-0.059,-76.815,100.937,-36.265,-0.845,0.187,0.426,-7.756,2.762,10.781,-0.877,-0.363,0.252,5.512,-8.864,-13.444
142300.0,-0.864,-0.007,0.325,-0.42,-13.72,10.99,-0.979,0.484,0.976,-35.17,106.22,-18.606,-0.839,0.133,0.417,-1.568,-1.163,11.233,-0.875,-0.391,0.274,1.016,-12.089,-10.274
142320.0,-0.776,0.007,0.377,-4.611,-11.923,11.253,-0.953,0.91,1.177,-129.25,86.948,-24.591,-0.766,0.083,0.417,11.072,-0.852,12.718,-0.846,-0.37,0.274,-0.017,-15.272,-7.977
142340.0,-0.775,0.019,0.291,-5.48,-12.118,10.624,-1.541,-0.676,-0.728,-154.092,131.143,-58.533,-0.755,0.111,0.411,21.898,4.346,14.876,-0.785,-0.319,0.255,-3.862,-15.091,-8.499
142360.0,-0.847,-0.006,0.24,-1.699,-0.642,9.154,-2.165,0.277,0.409,56.526,154.499,-53.332,-0.848,0.219,0.433,8.744,6.688,14.796,-0.826,-0.323,0.243,-10.918,-12.685,-9.434
142380.0,-0.873,-0.092,0.112,6.284,8.449,6.948,-1.02,-0.05,0.208,64.673,144.666,-59.407,-0.926,0.21,0.401,-22.382,5.028,8.788,-0.906,-0.336,0.235,-11.806,-10.618,-7.94
142400.0,-0.811,-0.09,0.029,11.334,21.307,3.736,-0.662,0.129,0.447,68.997,73.143,-52.136,-1.011,0.122,0.297,-32.64,-6.073,1.698,-0.93,-0.355,0.235,-6.804,-7.301,-5.037
142420.0,-0.81,0.039,0.149,17.05,23.841,-0.05,-0.237,0.644,-0.421,76.631,120.111,-19.588,-0.91,-0.005,0.186,-18.34,-14.28,-3.01,-0.869,-0.314,0.237,5.93,-1.879,-5.013
142440.0,-0.953,0.201,0.194,12.557,26.266,0.445,-1.196,0.706,-0.062,4.37,142.831,-14.484,-0.863,-0.045,0.152,23.147,-7.628,-2.556,-0.824,-0.262,0.224,15.828,4.225,-8.683
142460.0,-1.03,0.194,0.26,7.82,26.252,3.307,-1.427,-0.192,-0.532,-25.231,102.489,-30.989,-0.883,0.025,0.17,43.879,-1.222,-3.286,-0.826,-0.205,0.194,26.003,8.456,-12.723
142480.0,-1.0,0.096,0.164,3.009,21.035,6.659,-1.097,0.329,-0.049,0.347,98.523,-25.056,-0.917,0.123,0.178,37.099,2.15,-7.775,-0.839,-0.123,0.189,28.161,9.932,-12.558
142500.0,-0.865,-0.08,0.021,-0.753,23.467,4.62,-0.941,0.184,-0.023,4.479,90.881,-37.249,-0.954,0.172,0.176,16.297,0.546,-14.464,-0.868,-0.098,0.186,21.432,8.98,-8.852
142520.0,-0.79,-0.071,-0.029,-0.596,24.031,-0.462,-1.038,0.178,-0.181,-12.884,86.38,-39.482,-0.936,0.096,0.142,2.242,0.836,-18.029,-0.912,-0.102,0.171,8.4,1.603,-2.822
142540.0,-0.878,0.045,-0.041,-0.757,22.101,-4.688,-1.135,-0.016,-0.119,-9.73,76.72,-41.44,-0.942,0.073,0.097,3.696,7.822,-17.986,-0.907,-0.088,0.159,-9.074,-1.943,0.474
142560.0,-1.041,0.093,0.009,1.615,30.988,-6.867,-1.147,0.304,-0.206,-3.767,59.856,-35.535,-0.985,0.077,0.09,6.98,12.797,-15.901,-0.982,-0.157,0.119,-20.485,-0.454,0.304
142580.0,-1.167,0.095,0.1,4.605,31.966,-3.314,-0.903,0.32,-0.118,-11.458,60.118,-33.357,-1.025,0.118,0.11,4.016,15.374,-13.242,-1.055,-0.208,0.119,-11.962,2.844,-1.075
142600.0,-1.137,0.058,0.107,6.927,27.537,0.941,-0.775,0.143,-0.277,-15.4,56.56,-38.5,-1.026,0.117,0.12,-4.896,15.946,-12.577,-1.066,-0.211,0.146,1.319,5.325,-1.463
142620.0,-1.064,-0.011,0.06,8.471,24.205,2.232,-0.916,0.175,-0.19,-21.63,49.56,-30.94,-1.016,0.088,0.126,-5.886,17.237,-11.988,-1.022,-0.209,0.205,10.037,8.343,-1.706
142640.0,-1.098,-0.065,0.037,12.567,19.249,0.597,-1.273,-0.073,-0.095,-5.648,49.111,-18.75,-1.039,0.069,0.137,-1.038,19.036,-11.76,-1.031,-0.203,0.221,12.319,11.676,2.3
142660.0,-1.123,-0.108,-0.001,14.576,13.669,-4.011,-0.985,0.012,-0.272,19.009,43.945,-19.369,-1.119,0.082,0.16,8.504,18.62,-12.005,-1.126,-0.12,0.201,1.432,11.358,5.943
142680.0,-1.12,-0.056,-0.039,12.081,14.88,-7.893,-0.823,0.164,-0.306,3.29,40.32,-14.98,-1.165,0.111,0.176,12.547,14.028,-11.902,-1.159,-0.22,0.16,-4.61,6.811,10.517
142700.0,-1.133,0.089,-0.036,9.308,16.001,-7.581,-0.988,0.285,-0.197,2.45,40.53,-11.9,-1.147,0.116,0.183,15.429,9.673,-9.23,-1.089,-0.283,0.165,4.69,7.21,13.02
