Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
1160.0,-0.997,-0.015,-0.104,2.421,-1.568,-1.653,-1.012,0.104,0.127,1.559,-2.764,0.538,-0.933,0.346,-0.042,-2.664,-8.139,9.997,-1.024,-0.208,0.023,2.557,-5.479,-3.727
1180.0,-1.005,-0.013,-0.097,2.641,-1.964,-1.226,-1.007,0.106,0.128,2.896,-3.19,0.439,-0.926,0.344,-0.045,-3.152,-7.357,10.01,-1.024,-0.197,0.018,3.981,-7.015,-4.652
1200.0,-1.004,-0.016,-0.098,2.857,-2.207,-0.773,-1.007,0.123,0.121,3.074,-3.667,0.716,-0.92,0.343,-0.049,-3.503,-6.687,9.895,-1.018,-0.191,0.012,3.899,-7.881,-5.321
1220.0,-0.998,-0.02,-0.101,2.778,-2.291,-0.6,-1.008,0.116,0.126,2.233,-4.303,1.144,-0.917,0.339,-0.053,-3.815,-5.775,9.507,-1.014,-0.185,0.008,3.246,-8.115,-5.815
1240.0,-0.991,-0.019,-0.099,2.103,-2.918,-0.527,-1.015,0.115,0.126,2.093,-5.004,1.665,-0.924,0.336,-0.058,-3.762,-5.039,8.947,-1.013,-0.179,0.009,1.82,-7.91,-6.23
1260.0,-0.986,-0.013,-0.099,1.589,-3.199,-0.298,-1.012,0.118,0.122,1.682,-5.707,2.205,-0.931,0.331,-0.064,-3.408,-4.122,8.236,-1.009,-0.188,0.005,1.553,-8.161,-6.297
1280.0,-0.987,-0.012,-0.101,0.804,-2.995,-0.079,-1.009,0.122,0.128,1.925,-6.407,3.069,-0.935,0.326,-0.065,-2.363,-3.339,7.235,-0.999,-0.186,0.005,2.151,-7.363,-5.663
1300.0,-1.0,-0.016,-0.101,0.364,-2.531,-0.171,-1.012,0.113,0.135,0.235,-6.664,3.523,-0.935,0.327,-0.063,-1.5,-2.468,5.791,-0.995,-0.187,0.001,2.832,-7.21,-5.182
1320.0,-1.009,-0.017,-0.097,0.633,-1.941,-0.28,-1.008,0.117,0.134,-0.349,-6.93,3.919,-0.933,0.332,-0.061,-1.19,-1.308,4.14,-0.99,-0.185,0.001,3.396,-6.695,-4.737
1340.0,-1.014,-0.018,-0.091,1.328,-1.47,-0.282,-1.004,0.117,0.139,-0.07,-6.93,3.71,-0.932,0.332,-0.059,-1.073,0.374,2.617,-0.992,-0.177,-0.003,3.271,-5.526,-4.634
1360.0,-1.01,-0.017,-0.087,0.887,-1.459,-0.556,-1.009,0.121,0.138,0.537,-7.108,3.766,-0.931,0.333,-0.055,-1.124,1.561,1.353,-0.989,-0.174,-0.006,2.444,-4.962,-4.414
1380.0,-1.009,-0.016,-0.085,0.205,-1.182,-0.49,-1.01,0.128,0.139,0.153,-7.315,3.951,-0.934,0.335,-0.056,-1.203,2.067,0.483,-0.986,-0.176,-0.005,2.012,-3.699,-3.81
1400.0,-1.007,-0.019,-0.088,0.153,-1.075,-0.49,-1.01,0.126,0.143,-0.4,-7.618,4.324,-0.935,0.332,-0.057,-0.763,2.7,-0.033,-0.982,-0.179,-0.004,2.471,-2.32,-2.634
1420.0,-1.006,-0.017,-0.094,-0.201,-0.724,-0.49,-1.009,0.123,0.153,-0.245,-7.368,4.247,-0.936,0.333,-0.054,0.193,2.812,-0.366,-0.985,-0.184,0.004,4.413,-1.294,-0.726
1440.0,-1.002,-0.017,-0.102,-0.174,0.717,-0.49,-1.006,0.117,0.151,-0.595,-6.541,4.086,-0.934,0.333,-0.049,1.273,3.22,-0.698,-0.994,-0.182,0.012,4.888,-0.671,0.606
1460.0,-0.998,-0.009,-0.109,0.357,1.893,-0.415,-0.999,0.123,0.15,-0.53,-6.141,3.904,-0.944,0.342,-0.049,1.538,3.258,-1.326,-0.989,-0.174,0.014,3.603,0.584,1.297
1480.0,-0.995,-0.011,-0.109,-0.23,2.327,-0.171,-0.997,0.131,0.15,-0.331,-6.007,3.646,-0.938,0.352,-0.037,1.47,3.85,-2.1,-0.991,-0.176,0.012,1.941,1.844,1.779
1500.0,-1.002,-0.017,-0.083,-0.853,4.095,-0.14,-0.995,0.138,0.151,-0.623,-5.786,3.276,-0.938,0.369,-0.032,0.385,4.058,-3.064,-0.993,-0.18,0.01,1.229,2.069,2.308
1520.0,-1.015,-0.012,-0.066,-0.38,3.101,-0.025,-0.997,0.143,0.156,-1.329,-5.38,2.882,-0.954,0.404,-0.034,-3.172,3.933,-4.648,-0.994,-0.189,0.016,1.603,2.556,3.213
1540.0,-1.009,-0.013,-0.088,0.619,-0.424,0.29,-1.013,0.136,0.158,-1.47,-5.28,2.917,-0.947,0.4,-0.029,-10.327,3.798,-5.518,-0.998,-0.197,0.019,2.773,3.012,3.837
1560.0,-1.001,-0.018,-0.119,0.619,-0.187,-0.036,-1.017,0.121,0.151,-1.297,-5.669,3.593,-0.955,0.412,-0.02,-12.235,3.541,-5.176,-1.0,-0.198,0.027,3.994,4.66,4.318
1580.0,-1.001,-0.018,-0.121,0.885,2.363,-0.264,-1.008,0.125,0.149,-0.815,-6.06,3.961,-0.943,0.44,-0.02,-17.056,2.436,-3.762,-1.017,-0.192,0.021,5.742,4.338,4.601
1600.0,-1.002,-0.014,-0.108,1.719,4.358,-0.22,-1.0,0.131,0.151,-0.727,-6.758,4.173,-0.941,0.415,-0.041,-17.508,2.379,0.654,-1.012,-0.192,0.023,6.306,4.118,4.046
1620.0,-1.005,-0.013,-0.089,1.96,4.482,-0.155,-0.998,0.126,0.156,-0.749,-7.079,4.134,-0.916,0.413,-0.028,-13.85,1.572,5.625,-1.01,-0.196,0.034,6.691,3.695,3.78
1640.0,-1.003,-0.016,-0.086,1.56,3.108,-0.349,-0.998,0.118,0.157,-0.385,-7.126,3.99,-0.924,0.459,0.001,-12.713,1.706,9.312,-1.003,-0.192,0.04,6.16,3.694,3.344
1660.0,-0.997,-0.021,-0.099,0.945,1.707,-0.631,-0.999,0.13,0.167,1.218,-6.936,4.023,-0.937,0.427,0.048,-14.406,1.01,15.406,-0.999,-0.196,0.038,6.326,3.04,3.202
1680.0,-0.999,-0.018,-0.105,0.065,0.43,-0.979,-1.007,0.152,0.177,1.099,-6.432,4.045,-0.98,0.425,0.114,-12.856,-0.995,23.659,-0.988,-0.209,0.045,8.387,2.294,3.386
1700.0,-1.0,-0.015,-0.107,-0.108,-0.387,-1.288,-0.994,0.147,0.173,-0.253,-5.362,3.457,-1.066,0.46,0.246,-17.068,-10.503,32.249,-0.98,-0.214,0.056,12.142,2.089,3.963
1720.0,-0.999,-0.015,-0.107,0.87,-0.81,-1.273,-0.989,0.127,0.171,-0.253,-4.561,2.739,-1.131,0.504,0.386,-27.388,-27.774,32.185,-0.969,-0.222,0.056,16.884,1.959,5.305
1740.0,-0.997,-0.015,-0.097,1.975,-1.339,-0.862,-0.99,0.139,0.174,1.241,-3.934,2.036,-1.196,0.537,0.538,-34.872,-45.548,31.99,-0.984,-0.202,0.057,23.028,1.349,7.395
1760.0,-0.997,-0.015,-0.093,1.372,-2.573,-0.523,-0.991,0.142,0.187,2.1,-2.689,0.978,-1.284,0.606,0.687,-48.474,-66.935,30.29,-1.025,-0.183,0.096,33.977,-5.743,10.327
1780.0,-0.996,-0.017,-0.099,0.604,-4.446,-1.612,-1.001,0.155,0.188,2.051,-0.811,0.199,-1.417,0.599,0.815,-65.635,-92.418,29.464,-1.085,-0.164,0.174,50.098,-18.651,15.174
1800.0,-1.039,-0.012,-0.1,-0.394,-7.247,-2.677,-1.001,0.147,0.172,1.24,-0.088,-0.07,-1.585,0.461,0.968,-64.762,-124.689,38.395,-1.169,-0.154,0.28,71.616,-31.916,23.848
1820.0,-1.05,-0.013,-0.099,-3.143,-10.982,-2.97,-0.993,0.137,0.171,1.053,0.309,-0.074,-1.665,0.529,1.107,-44.789,-142.289,59.85,-1.253,-0.145,0.439,81.734,-51.243,31.519
1840.0,-1.015,-0.0,-0.131,-4.854,-12.052,-3.235,-0.989,0.135,0.167,1.459,0.979,-0.559,-1.805,0.638,1.085,-43.418,-164.998,66.496,-1.32,0.052,0.579,70.484,-76.628,30.343
1860.0,-1.013,0.026,-0.144,-5.15,-12.217,-3.469,-0.998,0.144,0.166,0.24,0.91,-0.287,-1.917,0.757,1.039,-69.957,-221.289,66.15,-1.392,0.338,0.719,46.1,-99.01,12.588
1880.0,-1.047,0.046,-0.133,-5.26,-13.306,-1.797,-1.007,0.148,0.169,-0.061,0.903,-0.07,-1.985,0.821,1.085,-86.256,-262.263,67.091,-1.574,0.332,0.918,-15.804,-121.034,-17.474
1900.0,-1.059,0.034,-0.093,-2.97,-15.095,0.073,-1.013,0.152,0.159,-2.1,0.7,-0.07,-2.071,0.776,1.079,-106.482,-294.711,66.021,-1.767,0.137,1.069,-72.972,-145.503,-50.591
1920.0,-1.043,0.017,-0.076,-0.848,-16.652,1.582,-1.014,0.122,0.15,-1.33,-0.63,0.63,-2.066,0.776,1.023,-123.555,-324.089,69.397,-1.855,-0.003,1.068,-84.951,-176.455,-58.105
1940.0,-1.038,-0.012,-0.056,-0.98,-18.2,1.89,-1.012,0.128,0.15,-1.02,-1.536,1.149,-2.048,0.804,0.931,-129.529,-353.024,70.082,-1.843,-0.133,1.03,-48.636,-208.765,-43.057
1960.0,-1.014,-0.051,-0.045,-3.08,-20.93,0.84,-1.005,0.141,0.157,-0.77,-2.03,1.33,-1.918,0.786,0.801,-115.452,-384.357,78.183,-2.019,-0.194,1.112,-5.589,-255.091,-27.961
1980.0,-0.992,-0.033,-0.048,-4.118,-21.231,-0.398,-0.998,0.14,0.158,-1.467,-2.201,0.947,-1.695,0.889,0.785,-94.03,-406.599,98.815,-2.146,-0.184,1.209,30.959,-296.009,-14.731
2000.0,-0.966,-0.021,-0.051,-3.64,-20.23,-0.56,-0.991,0.12,0.161,-1.145,-2.59,0.655,-1.386,1.031,0.899,-68.017,-404.038,120.992,-2.124,0.018,1.109,13.066,-328.327,-22.849
2020.0,-0.961,-0.007,-0.028,-2.398,-20.369,0.135,-0.997,0.135,0.162,0.412,-2.59,0.362,-1.131,1.222,0.829,-79.012,-388.579,128.005,-2.168,-0.197,1.073,-4.749,-367.422,-32.684
2040.0,-0.973,-0.016,-0.048,0.496,-17.894,0.01,-1.002,0.14,0.166,0.079,-2.395,0.143,-1.043,1.39,0.609,-152.792,-400.323,121.1,-2.108,-0.305,1.065,-6.243,-396.549,-36.75
2060.0,-1.013,-0.02,-0.044,2.73,-12.367,-0.276,-1.005,0.121,0.161,0.404,-2.292,0.372,-0.833,1.128,0.577,-211.979,-387.895,94.736,-2.038,-0.382,1.165,-29.774,-402.355,-60.626
2080.0,-1.054,-0.028,0.007,2.736,-8.821,0.607,-1.004,0.139,0.163,1.3,-1.966,0.557,-0.714,1.026,0.583,-228.685,-372.701,80.218,-1.817,-0.7,1.002,-30.064,-404.176,-88.202
2100.0,-1.072,-0.028,0.044,3.936,-9.043,1.636,-1.005,0.139,0.162,2.226,-2.31,0.49,-1.016,1.214,0.371,-264.735,-408.686,67.672,-1.604,-0.869,0.889,4.596,-414.395,-105.128
2120.0,-1.061,-0.005,0.022,3.225,-10.121,3.199,-1.0,0.128,0.159,1.896,-2.31,0.49,-0.874,1.028,0.176,-266.905,-398.419,54.793,-1.393,-1.252,0.746,122.257,-418.615,-75.195
2140.0,-1.036,0.006,-0.01,0.115,-6.304,3.766,-1.007,0.124,0.156,2.584,-2.634,0.818,-0.631,0.784,0.107,-198.072,-394.231,60.648,-1.033,-0.782,0.73,159.458,-405.112,-60.601
2160.0,-1.039,-0.001,0.053,-1.833,2.613,3.451,-1.009,0.137,0.152,2.044,-3.492,1.351,-0.456,0.553,0.139,-115.315,-365.348,71.26,-0.695,-0.496,0.512,146.884,-387.067,-57.787
2180.0,-1.061,0.024,0.114,-0.369,-0.482,3.508,-1.007,0.126,0.157,2.778,-4.131,1.776,-0.581,0.946,-0.079,-97.02,-344.75,67.69,-0.758,-0.783,0.572,150.905,-368.315,-52.848
2200.0,-1.04,0.05,0.084,0.456,-0.942,5.96,-1.006,0.143,0.152,2.664,-4.929,2.261,-0.504,0.806,-0.265,-137.358,-332.004,70.052,-0.872,-0.878,0.391,177.15,-386.157,-37.03
2220.0,-1.016,0.014,0.07,0.342,3.562,8.06,-1.023,0.118,0.145,2.917,-6.805,2.758,-0.112,0.031,-0.574,-131.317,-302.461,76.656,-0.67,-0.627,0.401,173.992,-389.546,-35.076
2240.0,-1.052,-0.023,0.119,-0.643,5.52,7.14,-1.006,0.138,0.159,3.078,-7.6,3.134,0.079,-0.395,-0.663,-91.128,-270.45,84.569,-0.592,-0.449,0.3,108.472,-365.245,-54.336
