Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
3400.0,-0.808,-0.167,-0.226,2.775,-47.641,-16.17,-1.004,0.158,0.047,-1.707,11.335,-17.718,-1.004,-0.026,0.085,-3.402,-4.892,-3.64,-0.844,-0.094,0.305,51.084,24.503,-45.747
3420.0,-0.808,-0.153,-0.219,-0.289,-40.204,-10.058,-1.021,0.139,0.048,-3.438,11.187,-18.053,-0.987,-0.03,0.097,-1.895,-2.348,-5.179,-0.876,-0.016,0.32,41.327,22.32,-42.033
3440.0,-0.804,-0.159,-0.218,-6.064,-30.658,-6.805,-1.038,0.101,0.004,-4.755,10.084,-16.318,-1.015,-0.045,0.094,-0.473,-1.776,-5.704,-0.894,0.024,0.29,22.694,18.617,-37.22
3460.0,-0.82,-0.179,-0.204,-11.587,-21.944,-4.664,-1.035,0.089,0.003,-4.205,6.188,-13.79,-1.018,-0.038,0.08,1.234,-4.696,-4.517,-0.886,-0.015,0.244,8.942,13.06,-32.02
3480.0,-0.848,-0.192,-0.181,-13.81,-12.694,-2.378,-1.004,0.091,0.003,-0.14,4.55,-10.64,-1.014,-0.038,0.084,1.363,-6.782,-3.998,-0.849,-0.092,0.194,6.273,8.929,-26.652
3500.0,-0.85,-0.199,-0.179,-17.357,-4.355,1.085,-1.034,0.124,-0.037,-1.54,1.12,-7.56,-1.008,-0.036,0.095,-0.953,-9.292,-4.386,-0.844,-0.083,0.167,18.036,10.076,-24.07
3520.0,-0.856,-0.181,-0.187,-22.109,3.545,6.416,-1.031,0.105,-0.047,-7.675,-3.326,-4.199,-1.013,-0.037,0.075,-2.54,-10.644,-4.61,-0.855,-0.042,0.164,17.292,3.506,-23.409
3540.0,-0.847,-0.19,-0.187,-28.684,9.483,10.584,-1.051,0.063,-0.019,-9.55,-11.539,1.475,-1.036,-0.037,0.073,-2.553,-14.061,-4.331,-0.828,-0.01,0.199,5.683,-1.94,-22.791
3560.0,-0.851,-0.184,-0.196,-37.342,18.571,14.177,-1.03,0.042,-0.006,-4.685,-17.156,6.37,-1.02,-0.043,0.084,-4.878,-17.601,-3.674,-0.74,-0.095,0.192,0.358,2.597,-17.587
3580.0,-0.871,-0.174,-0.199,-42.999,27.7,18.13,-1.007,0.059,0.014,-0.375,-16.667,8.584,-0.999,-0.052,0.09,-5.62,-17.628,-2.273,-0.721,-0.084,0.162,4.834,17.013,-15.813
