Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
1140.0,-0.982,0.034,0.338,3.779,-1.118,-0.933,-0.994,0.157,-0.111,-0.493,-1.912,2.104,-0.957,0.213,0.215,1.809,-4.146,-2.127
1160.0,-0.978,0.022,0.312,1.519,-2.476,-0.798,-0.996,0.158,-0.11,-0.316,-1.93,2.17,-0.956,0.214,0.224,0.681,-4.48,-2.25
1180.0,-0.971,0.024,0.317,0.854,-0.877,-0.84,-0.994,0.161,-0.112,-0.274,-2.075,2.089,-0.954,0.206,0.226,1.371,-4.525,-1.983
1200.0,-0.978,0.025,0.326,1.142,-0.548,-0.888,-0.994,0.162,-0.113,-0.46,-2.03,1.814,-0.957,0.203,0.216,3.509,-4.259,-1.923
1220.0,-0.981,0.031,0.324,1.995,-0.607,-0.972,-0.997,0.159,-0.112,-0.399,-2.005,1.786,-0.97,0.208,0.211,5.216,-4.317,-1.671
1240.0,-0.981,0.033,0.325,2.417,-1.693,-0.882,-0.993,0.16,-0.111,-0.158,-1.864,1.883,-0.976,0.221,0.211,5.633,-4.628,-1.043
1260.0,-0.976,0.029,0.323,2.24,-2.911,-0.736,-0.995,0.161,-0.112,-0.371,-1.718,1.82,-0.972,0.22,0.209,4.907,-4.743,0.048
1280.0,-0.975,0.029,0.326,2.149,-3.684,-0.541,-0.991,0.16,-0.112,-0.373,-1.635,1.791,-0.966,0.215,0.199,4.865,-4.654,1.194
1300.0,-0.974,0.031,0.327,1.87,-4.258,-0.35,-0.995,0.164,-0.109,0.095,-1.913,1.558,-0.965,0.212,0.199,4.823,-4.049,2.366
1320.0,-0.984,0.031,0.338,2.03,-4.85,-0.291,-1.0,0.161,-0.11,0.101,-1.946,1.612,-0.968,0.21,0.205,3.588,-3.252,3.135
1340.0,-0.983,0.034,0.334,1.947,-5.816,-0.167,-0.993,0.168,-0.11,-0.242,-1.804,1.086,-0.969,0.207,0.209,2.455,-3.002,3.057
1360.0,-0.984,0.033,0.334,1.434,-7.765,-0.278,-0.993,0.162,-0.115,-0.326,-1.638,0.831,-0.962,0.2,0.235,2.452,-3.07,2.551
