Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
41520.0,-0.508,-0.674,-0.598,14.717,71.157,-68.471,-0.99,-0.037,-0.025,-32.252,14.398,0.393,-1.023,0.215,-0.074,-4.798,1.86,-7.25,-0.885,-0.527,-0.144,-1.247,10.791,-63.933,-1.166,-0.097,-0.388,14.183,-6.797,11.73
41540.0,-0.526,-0.734,-0.585,8.66,64.717,-63.597,-1.053,-0.118,-0.078,-21.222,10.866,-0.541,-0.997,0.163,-0.065,-6.161,5.024,-7.083,-0.919,-0.529,-0.132,-14.54,4.899,-69.168,-1.095,-0.159,-0.333,9.721,-0.272,4.201
41560.0,-0.531,-0.738,-0.587,4.979,58.604,-59.703,-0.959,-0.097,-0.081,-12.423,15.712,-0.768,-0.98,0.139,-0.062,1.788,7.058,-6.134,-0.817,-0.641,-0.138,-17.281,2.303,-70.656,-1.178,-0.197,-0.355,15.094,17.758,1.474
41580.0,-0.509,-0.715,-0.618,15.223,52.249,-54.251,-1.028,-0.042,-0.089,-7.35,14.07,1.47,-1.0,0.168,-0.039,4.941,7.925,-6.88,-0.744,-0.707,-0.167,-3.234,11.995,-66.72,-1.444,-0.175,-0.447,13.376,15.412,0.247
41600.0,-0.472,-0.745,-0.703,24.535,49.816,-45.985,-1.074,-0.086,-0.05,-6.02,8.47,3.64,-0.983,0.152,-0.067,8.059,11.816,-7.014,-0.802,-0.695,-0.186,5.628,17.237,-59.965,-1.453,-0.123,-0.466,-4.266,0.361,-9.218
41620.0,-0.443,-0.814,-0.737,24.158,48.464,-39.929,-1.112,-0.045,-0.12,3.094,7.217,6.159,-0.979,0.177,-0.103,6.609,9.349,-7.762,-0.835,-0.665,-0.15,3.566,15.854,-54.37,-1.343,-0.118,-0.439,-27.848,-2.62,-25.845
41640.0,-0.406,-0.897,-0.769,11.193,41.266,-38.79,-1.093,-0.04,-0.155,5.11,8.644,5.853,-1.002,0.182,-0.096,6.031,6.88,-8.549,-0.762,-0.723,-0.146,-2.192,16.654,-48.193,-1.325,-0.183,-0.379,-37.429,4.665,-30.92
41660.0,-0.335,-0.898,-0.778,-1.045,39.262,-40.266,-1.035,0.005,-0.147,2.136,8.719,3.95,-1.011,0.172,-0.132,4.445,3.95,-10.777,-0.714,-0.805,-0.159,-2.214,19.92,-41.351,-1.427,-0.329,-0.394,-22.002,4.86,-24.18
41680.0,-0.318,-0.797,-0.777,-0.96,31.226,-35.006,-1.03,0.013,-0.117,-6.868,6.265,0.571,-1.018,0.191,-0.115,-1.284,0.942,-12.506,-0.682,-0.803,-0.142,1.131,26.626,-34.375,-1.453,-0.256,-0.339,-9.82,2.429,-18.012
41700.0,-0.32,-0.787,-0.748,-0.592,27.721,-28.267,-1.02,-0.014,-0.11,-8.653,5.267,-0.665,-0.99,0.244,-0.097,-12.04,0.49,-15.47,-0.683,-0.721,-0.123,-2.276,28.478,-30.854,-1.45,-0.0,-0.157,-39.719,1.268,-28.926
41720.0,-0.366,-0.821,-0.763,2.847,22.524,-21.467,-1.014,-0.073,-0.168,-0.896,2.291,-0.825,-0.998,0.19,-0.13,-16.31,-2.1,-16.1,-0.693,-0.713,-0.095,-8.844,24.263,-27.404,-1.484,-0.195,-0.15,-62.342,-6.836,-43.421
41740.0,-0.33,-0.885,-0.834,-1.669,19.518,-15.08,-1.028,-0.081,-0.173,5.281,-3.367,0.158,-1.002,0.166,-0.138,-19.88,-5.6,-14.77,-0.666,-0.728,-0.086,-14.322,21.535,-23.396,-1.287,-0.45,-0.308,-40.733,-7.639,-15.065
41760.0,-0.265,-0.915,-0.894,-8.383,18.84,-12.859,-1.022,-0.015,-0.11,1.303,-4.887,0.619,-1.003,0.11,-0.094,-17.579,-8.64,-15.438,-0.66,-0.748,-0.135,-19.766,18.518,-15.327,-1.292,-0.501,-0.39,-0.15,-8.897,7.717
41780.0,-0.296,-0.91,-0.831,-12.894,14.987,-7.035,-1.021,0.028,-0.121,-4.391,-6.624,0.152,-0.995,0.106,-0.063,-19.808,-15.999,-19.299,-0.658,-0.809,-0.242,-20.613,14.484,-5.866,-1.241,-0.477,-0.357,32.107,3.713,20.25
