time,right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm
126.76,-68.39864004384872,-67.04422529302882,0.02259497092219713,3.7524792910732967,-178.79215171212434,-182.16797964591888,-158.84152783061393,194.16887435738295,205.48997499754384,-505.4752538427466,-68.76818227083245,-74.51947977396175,-90.36954222698368,-97.47525448092932,-90.34694725606144,-93.72277518985601,-3.3880547426100187,88.46389915985408,-2.4040902551782652,267.52569395702244,-250.3963233745511,282.6140788134458,675.0950873944445,-582.861175029304
126.78,-68.55109357686815,-67.0447363907626,-0.09711616675592728,3.711857306503782,-178.7914073324297,-181.99350543690733,-159.544256072225,194.45392800665937,206.0331393403528,-504.1431805977201,-68.94994680966417,-74.4546612012965,-90.39885323279596,-97.40992481053328,-90.49596939955185,-93.69806750402948,-3.1992497506590736,88.61714760574299,-2.415470873489719,267.10526292821885,-251.24881813934718,282.74936593953726,674.785365535532,-581.3938146581831
126.8,-68.83879680513624,-67.52832596536703,-0.11589977417446007,3.6383289829729626,-178.74753338049078,-181.80914491465063,-160.24669572788363,194.6558767482787,206.88569395957623,-502.86177045232944,-69.32116291870581,-74.82653237023546,-90.4823661135695,-97.29820640487677,-90.59826588774395,-93.65987742190379,-3.0989734834262173,88.76522842709934,-2.4458656852862317,266.73585659002623,-252.0974282351368,282.8051442410255,674.7887925143817,-580.0566262112952
126.82000000000001,-69.12171249021333,-68.39033288643519,-0.10405579587465093,3.595269149551403,-178.66415257587784,-181.578873905987,-160.91200461731202,194.84881195502106,208.05183170098547,-501.7097136647388,-69.69161596840246,-75.5742826401342,-90.56990347818906,-97.18394975372419,-90.6739592740637,-93.5886806041728,-3.065667878928112,88.9249682782712,-2.4687447698435427,266.5548837288204,-252.9218113154978,282.83900525683515,675.130174826173,-578.8707084078778
126.84,-69.34437489659464,-69.44935174625608,-0.11395433163265616,3.502048700107925,-178.56631362481687,-181.34386934473403,-161.5066545165634,195.04312206571018,209.29897427771863,-500.65434807494876,-69.9819064012701,-76.48044200254198,-90.63753150467535,-97.03109025633299,-90.751485836308,-93.52904155622508,-3.069671272804019,89.10032022749459,-2.4582830498369397,266.594298741377,-253.6918267280544,282.857949854219,675.6071161278917,-577.796398220682
126.86,-69.53313204792929,-70.58284051853643,-0.19021015766685373,3.3227700179925663,-178.50410798509904,-181.1489602770699,-162.00434926673773,195.1847755799136,210.36801146011155,-499.65190477343924,-70.20054777457257,-77.40808871274916,-90.66741572664317,-96.82524819427334,-90.85762588431005,-93.5024781762808,-3.088021158539489,89.26841335336658,-2.3819744703608103,266.7458886913675,-254.35786716594856,282.8312576807026,676.0100597408743,-576.8206470926755
126.88000000000001,-69.67760495208276,-71.57376373727114,-0.33252047490104736,3.214807607854526,-178.5010543651382,-180.96807476585462,-162.39146263427742,195.22889453227052,211.22883623036847,-498.70876818677993,-70.33309053670857,-78.24359780533297,-90.65548558462571,-96.66983406809757,-90.9880060595268,-93.45502646024308,-3.1038217521781686,89.40159128332071,-2.203617568289398,266.8557220666286,-254.87841432866585,282.741942837882,676.3503497825404,-575.9668253488617
126.9,-69.65645329446207,-72.10564321095403,-0.4401071492882945,3.3721302894467744,-178.50329447305944,-180.74117242153292,-162.68712541689212,195.137462630908,211.97732265395877,-497.8815780644133,-70.30259286347264,-78.8018981672464,-90.64613956901049,-96.69625495621888,-91.08624671829881,-93.32412466677212,-3.1103547723951115,89.49741552376405,-1.9107039531255456,266.8506332559853,-255.27007766213137,282.5545103856687,676.7072035737514,-575.3270676788175
126.92,-69.42318259362338,-72.12399585000102,-0.3796389424747476,3.7903509790864254,-178.41752432721722,-180.45329928144972,-162.91959277111744,194.9227369173109,212.58036243126435,-497.26834869875177,-70.12749824916152,-79.0340763816431,-90.70431565553805,-96.91008053133157,-91.08395459801282,-93.11972955224515,-3.113071744877491,89.58080910434045,-1.5406438871629762,266.7861424396341,-255.58602304191294,282.2563066465154,676.9943238110279,-575.0120420525462
126.94,-69.13924375777079,-71.9553384332578,-0.16299319788716107,4.291780885345618,-178.22357538471496,-180.15014771551947,-163.09403369070344,194.7013208868456,212.9728601752678,-496.9217708317552,-69.95686256644696,-79.15430365663717,-90.81761880867607,-97.19896522271326,-90.98061200656323,-92.90718433736761,-3.1192743583603093,89.67142993490488,-1.171073844379973,266.76291856718075,-255.85107031255163,281.94428426499735,677.1217889612183,-574.9774865674234
126.96000000000001,-69.0187556052682,-71.84712586314957,0.033351799390029184,4.71356387285424,-178.00427606554615,-179.89992668805309,-163.22126318011308,194.5946483610497,213.2494754621991,-496.7858285546537,-69.89879773260915,-79.30303068745079,-90.88004212734086,-97.45590482331194,-90.84669032795084,-92.74234095045766,-3.127760238144365,89.75695383781431,-0.8803453390683279,266.8030462237546,-256.0636774425177,281.75223409864515,677.1858024504338,-575.0335944569973
126.98,-69.20194979441688,-71.70037602546256,0.06265960640209053,4.954811725393897,-177.84174908201908,-179.76328371854362,-163.32042254989094,194.6053612441142,213.51389161972997,-496.74600981815547,-70.0081443837933,-79.32025737123479,-90.80619458937635,-97.61988134489266,-90.74353498297425,-92.66506961949874,-3.132212449918087,89.81665031816543,-0.707076270827435,266.85290333539814,-256.22220845084604,281.7035753431592,677.2916875445711,-575.0424344758753
127.0,-69.61391234519301,-71.48570337907157,-0.04111874100424523,4.9288521696426315,-177.73120543477893,-179.7753637498654,-163.3628627962886,194.6715431655656,213.7189396940205,-496.7163166359193,-70.24920463943721,-79.13512489868906,-90.63529229424414,-97.64942151997748,-90.67641103524838,-92.72056935033484,-3.128935455840773,89.86056906749918,-0.6375515175453906,266.8833012184156,-256.308068396758,281.7263375650963,677.4108735212282,-574.9899790704621
127.02,-69.85639750481837,-71.4622425492424,-0.1325779026292835,4.646496553958277,-177.62124894832587,-179.9184580133248,-163.29436531298296,194.78280947704457,213.82836022248898,-496.74794746763985,-70.33937664291479,-79.02150520537823,-90.48297913809637,-97.55926265968287,-90.61555704072563,-92.91276610572459,-3.1157720244027973,89.91016546040433,-0.6299080294032102,266.90476684253224,-256.28867340538267,281.7885013846449,677.5396868064984,-574.9594460794461
127.04,-69.54310917727922,-71.71791616629167,-0.10900539167665345,4.300918575767506,-177.49303656550964,-180.11545651811235,-163.11384652296698,194.96336601238502,213.94516337061722,-497.0367265606166,-69.96689254251906,-79.17404344259097,-90.4237833652398,-97.45612728528668,-90.53278875691643,-93.15520870951917,-3.0905936929373037,89.95558687535016,-0.6457552854305586,266.927753544569,-256.1535987143737,281.9236138209783,677.791563504477,-575.1131127306483
